frame_id,left_detected,right_detected,left_conf,right_conf
0,1,1,0.82,0.87
1,1,1,0.75,0.86
2,1,1,0.79,0.84
3,1,1,0.80,0.85
4,0,1,0.34,0.86
5,1,1,0.69,0.87
6,1,1,0.74,0.87
7,1,1,0.77,0.88
8,1,1,0.78,0.88
9,1,1,0.78,0.88
10,1,1,0.79,0.88
11,1,1,0.71,0.84
12,1,1,0.80,0.86
13,1,1,0.79,0.82
14,1,1,0.72,0.77
15,1,1,0.72,0.80
16,1,1,0.40,0.84
17,1,1,0.40,0.78
18,1,1,0.64,0.83
19,1,1,0.66,0.84
20,1,1,0.69,0.86
21,1,1,0.72,0.85
22,1,1,0.69,0.79
23,1,1,0.75,0.87
24,1,1,0.60,0.86
25,1,1,0.60,0.87
26,1,1,0.73,0.86
27,1,1,0.72,0.83
28,1,1,0.59,0.84
29,1,1,0.71,0.86
30,1,1,0.74,0.79
31,1,1,0.74,0.80
32,1,1,0.49,0.80
33,1,1,0.50,0.86
34,1,1,0.73,0.86
35,1,1,0.38,0.75
36,1,1,0.68,0.87
37,1,1,0.59,0.87
38,1,1,0.59,0.81
39,1,1,0.61,0.82
40,1,1,0.64,0.82
41,1,1,0.41,0.83
42,1,1,0.65,0.86
43,1,1,0.49,0.77
44,1,1,0.50,0.87
45,1,1,0.51,0.87
46,1,1,0.47,0.86
47,1,1,0.49,0.87
48,1,1,0.56,0.36
49,1,1,0.61,0.36
50,1,1,0.63,0.60
51,1,1,0.57,0.56
52,1,1,0.61,0.61
53,1,1,0.56,0.56
54,1,1,0.57,0.62
55,1,1,0.51,0.66
56,1,1,0.51,0.67
57,1,1,0.56,0.67
58,1,1,0.54,0.58
59,1,1,0.60,0.70
60,1,1,0.51,0.66
61,1,1,0.47,0.70
62,1,1,0.60,0.82
63,1,1,0.58,0.67
64,1,1,0.53,0.70
65,1,1,0.54,0.71
66,1,1,0.51,0.82
67,1,1,0.62,0.65
68,1,1,0.64,0.69
69,1,1,0.65,0.82
70,1,1,0.40,0.84
