frame_id,left_detected,right_detected,left_conf,right_conf
0,1,1,0.47,0.63
1,1,1,0.35,0.45
2,1,1,0.44,0.52
3,1,1,0.45,0.47
4,1,1,0.40,0.43
5,1,1,0.51,0.39
6,1,1,0.38,0.45
7,0,1,0.32,0.46
8,1,0,0.41,0.33
9,0,1,0.33,0.44
10,1,1,0.40,0.48
11,1,1,0.39,0.52
12,1,1,0.45,0.47
13,1,1,0.45,0.55
14,1,1,0.43,0.49
15,0,1,0.35,0.45
16,1,1,0.40,0.57
17,1,1,0.51,0.46
18,1,1,0.56,0.49
19,1,1,0.52,0.48
20,1,1,0.35,0.41
21,1,1,0.42,0.55
22,1,1,0.42,0.44
23,0,1,0.32,0.57
24,1,1,0.37,0.60
25,1,1,0.48,0.51
26,1,1,0.48,0.58
27,1,1,0.44,0.66
28,1,1,0.45,0.56
29,1,1,0.46,0.59
30,1,1,0.44,0.60
31,1,1,0.47,0.56
32,1,1,0.44,0.67
33,0,1,0.32,0.64
34,1,1,0.37,0.68
35,1,1,0.47,0.68
36,1,1,0.46,0.62
37,1,1,0.49,0.61
38,1,1,0.37,0.50
39,1,1,0.37,0.61
40,1,1,0.50,0.68
41,1,1,0.38,0.51
42,1,1,0.54,0.57
43,1,1,0.35,0.49
44,0,1,0.33,0.60
45,1,1,0.47,0.46
46,0,1,0.33,0.40
47,1,1,0.40,0.63
48,1,1,0.42,0.58
49,1,1,0.49,0.50
50,1,1,0.51,0.51
51,1,1,0.47,0.62
52,1,1,0.44,0.64
53,1,1,0.44,0.60
54,1,1,0.49,0.63
55,1,1,0.51,0.72
56,1,1,0.47,0.72
57,1,1,0.47,0.67
58,1,1,0.70,0.68
59,1,1,0.67,0.71
60,1,1,0.64,0.74
61,1,1,0.61,0.68
62,1,1,0.65,0.73
63,1,1,0.50,0.68
64,1,1,0.49,0.57
65,1,1,0.57,0.67
66,1,1,0.59,0.66
67,1,1,0.57,0.71
68,1,1,0.55,0.57
69,1,1,0.65,0.53
70,1,1,0.56,0.48
71,1,1,0.53,0.47
72,1,1,0.52,0.58
73,1,1,0.52,0.61
74,1,1,0.45,0.51
75,1,1,0.53,0.57
76,1,1,0.43,0.58
77,1,1,0.47,0.57
78,1,1,0.49,0.68
79,1,1,0.64,0.54
80,1,1,0.62,0.72
81,1,1,0.53,0.62
82,1,1,0.63,0.73
83,1,1,0.68,0.71
84,1,1,0.65,0.67
85,1,1,0.60,0.58
86,1,1,0.65,0.52
87,1,1,0.59,0.58
88,1,1,0.53,0.57
89,1,1,0.45,0.50
90,1,1,0.45,0.62
91,1,1,0.51,0.57
92,1,1,0.38,0.61
93,0,1,0.33,0.55
94,1,1,0.43,0.50
95,1,1,0.47,0.56
96,1,1,0.41,0.55
97,1,1,0.42,0.58
98,1,1,0.39,0.52
99,1,1,0.39,0.57
100,1,1,0.47,0.57
101,1,1,0.36,0.53
102,1,1,0.36,0.59
103,1,1,0.46,0.54
104,1,1,0.43,0.51
105,1,1,0.46,0.57
106,1,1,0.39,0.55
107,1,1,0.46,0.57
108,0,1,0.31,0.56
109,1,1,0.40,0.55
110,1,1,0.36,0.55
111,1,1,0.39,0.45
112,0,1,0.34,0.44
113,0,1,0.33,0.54
114,1,1,0.38,0.56
115,1,1,0.38,0.38
116,1,1,0.38,0.46
117,1,1,0.45,0.53
118,1,1,0.38,0.66
119,0,1,0.33,0.37
120,0,1,0.32,0.68
121,0,1,0.33,0.55
122,0,1,0.33,0.48
123,0,1,0.34,0.49
124,0,1,0.32,0.52
125,0,1,0.33,0.53
126,0,1,0.32,0.55
127,1,1,0.37,0.52
128,0,1,0.35,0.68
129,1,1,0.39,0.50
130,0,1,0.32,0.64
131,1,1,0.46,0.55
132,1,1,0.35,0.54
133,1,1,0.35,0.66
134,0,1,0.34,0.60
135,1,1,0.45,0.60
136,1,1,0.46,0.64
137,1,1,0.43,0.56
138,1,1,0.45,0.57
139,1,1,0.41,0.56
140,0,1,0.34,0.61
141,1,1,0.37,0.63
142,0,1,0.33,0.63
143,1,1,0.43,0.39
144,1,1,0.36,0.62
145,1,1,0.38,0.42
146,1,1,0.40,0.53
147,1,1,0.42,0.50
148,1,1,0.35,0.71
149,1,1,0.46,0.65
150,1,1,0.46,0.51
151,1,1,0.46,0.49
152,1,1,0.43,0.55
153,1,1,0.43,0.44
154,1,1,0.45,0.56
155,1,1,0.54,0.56
156,1,1,0.44,0.65
157,1,1,0.47,0.63
158,1,1,0.42,0.53
159,1,1,0.54,0.56
160,1,1,0.47,0.50
161,1,1,0.55,0.59
162,0,1,0.33,0.53
163,1,1,0.48,0.54
164,1,1,0.49,0.49
165,0,1,0.35,0.45
166,1,1,0.48,0.40
167,1,1,0.54,0.52
168,1,1,0.54,0.49
169,1,1,0.55,0.47
170,1,1,0.55,0.56
171,1,1,0.50,0.46
172,0,1,0.34,0.52
173,1,1,0.51,0.56
174,1,1,0.56,0.53
175,1,1,0.53,0.48
176,0,1,0.33,0.59
177,1,1,0.41,0.49
178,1,1,0.43,0.50
179,1,1,0.46,0.57
180,1,1,0.45,0.58
181,0,1,0.34,0.51
182,1,1,0.46,0.51
183,0,1,0.33,0.53
184,1,1,0.44,0.59
185,1,1,0.46,0.59
186,0,1,0.35,0.54
187,0,1,0.33,0.54
188,1,1,0.48,0.56
189,0,1,0.34,0.59
190,1,1,0.43,0.46
191,1,1,0.49,0.54
192,1,1,0.41,0.60
193,1,1,0.36,0.65
194,1,1,0.42,0.58
195,1,1,0.39,0.64
196,1,1,0.51,0.56
197,1,1,0.41,0.51
198,0,1,0.32,0.48
199,1,1,0.54,0.46
200,1,1,0.52,0.46
201,0,1,0.34,0.49
202,0,1,0.33,0.51
203,1,1,0.49,0.56
204,1,1,0.51,0.52
205,1,1,0.38,0.55
206,1,1,0.45,0.49
207,1,1,0.45,0.42
208,1,1,0.45,0.51
209,1,1,0.38,0.44
210,1,1,0.39,0.37
211,1,1,0.51,0.48
212,1,1,0.53,0.39
213,1,1,0.57,0.44
214,1,1,0.57,0.38
215,1,1,0.56,0.47
216,1,1,0.60,0.52
217,1,1,0.55,0.39
218,1,1,0.57,0.39
219,1,1,0.41,0.48
220,0,1,0.35,0.52
221,1,1,0.57,0.48
222,1,1,0.55,0.45
223,1,1,0.49,0.48
224,1,1,0.51,0.44
225,1,1,0.37,0.49
226,1,1,0.47,0.46
227,1,1,0.60,0.49
228,1,1,0.43,0.48
229,1,1,0.39,0.45
230,1,1,0.53,0.48
231,1,1,0.47,0.44
232,1,1,0.46,0.52
233,1,1,0.50,0.56
234,1,1,0.47,0.55
235,1,1,0.49,0.52
236,1,1,0.42,0.59
237,1,1,0.55,0.58
238,1,1,0.56,0.58
239,1,1,0.51,0.36
240,1,1,0.50,0.54
241,1,1,0.56,0.59
242,1,1,0.60,0.42
243,1,1,0.62,0.47
244,1,1,0.71,0.52
245,1,1,0.57,0.51
246,1,1,0.64,0.62
247,1,1,0.43,0.52
248,1,1,0.56,0.53
249,1,1,0.50,0.47
250,1,1,0.61,0.54
251,1,1,0.59,0.52
252,1,1,0.58,0.55
253,1,1,0.44,0.45
254,1,1,0.52,0.46
255,1,1,0.42,0.51
256,1,1,0.52,0.47
257,1,1,0.48,0.42
258,1,1,0.40,0.41
259,1,1,0.46,0.45
260,1,1,0.47,0.46
261,1,1,0.42,0.42
262,1,1,0.54,0.45
263,1,1,0.48,0.48
264,1,1,0.54,0.43
265,1,1,0.60,0.50
