frame_id,left_detected,right_detected,left_conf,right_conf
0,1,1,0.64,0.64
1,1,1,0.63,0.55
2,1,1,0.62,0.57
3,1,1,0.54,0.42
4,1,1,0.49,0.54
5,1,1,0.40,0.48
6,1,1,0.40,0.51
7,0,1,0.33,0.45
8,0,1,0.35,0.43
9,1,1,0.45,0.51
10,1,1,0.43,0.43
11,1,1,0.41,0.44
12,1,1,0.38,0.50
13,0,1,0.31,0.44
14,1,1,0.48,0.45
15,1,1,0.40,0.45
16,1,1,0.48,0.50
17,1,1,0.52,0.40
18,1,1,0.45,0.48
19,1,1,0.45,0.46
20,1,1,0.48,0.39
21,1,1,0.47,0.49
22,1,1,0.42,0.46
23,1,1,0.42,0.38
24,1,1,0.48,0.40
25,1,1,0.48,0.56
26,1,1,0.47,0.42
27,1,1,0.47,0.38
28,1,1,0.48,0.41
29,1,1,0.44,0.42
30,1,1,0.47,0.43
31,1,1,0.47,0.38
32,1,1,0.45,0.47
33,1,1,0.52,0.47
34,1,1,0.55,0.40
35,1,1,0.54,0.45
36,1,1,0.56,0.45
37,1,1,0.54,0.50
38,1,1,0.49,0.46
39,1,1,0.53,0.37
40,1,1,0.55,0.47
41,1,1,0.55,0.48
42,1,1,0.54,0.43
43,1,1,0.56,0.48
44,1,1,0.53,0.47
45,1,1,0.53,0.52
46,1,1,0.56,0.43
47,1,1,0.56,0.43
48,1,1,0.58,0.49
49,1,1,0.58,0.55
50,1,1,0.59,0.50
51,1,1,0.59,0.49
52,1,1,0.44,0.48
53,1,1,0.58,0.47
54,1,1,0.36,0.44
55,1,1,0.49,0.42
56,1,1,0.52,0.43
57,1,1,0.43,0.44
58,1,1,0.43,0.43
59,1,1,0.44,0.44
60,1,1,0.38,0.45
61,1,1,0.52,0.45
62,1,1,0.42,0.50
63,1,1,0.43,0.48
64,1,1,0.37,0.49
65,1,1,0.47,0.52
66,1,1,0.35,0.49
67,1,1,0.45,0.47
68,1,1,0.36,0.44
69,0,1,0.35,0.47
70,1,1,0.39,0.51
71,1,1,0.46,0.50
72,1,1,0.42,0.53
73,1,1,0.44,0.52
74,1,1,0.39,0.55
75,1,1,0.44,0.52
76,1,1,0.44,0.55
77,1,1,0.45,0.58
78,1,1,0.45,0.56
79,1,1,0.45,0.54
80,1,1,0.46,0.51
81,1,1,0.43,0.54
82,1,1,0.43,0.55
83,1,1,0.51,0.49
84,1,1,0.53,0.56
85,1,1,0.42,0.55
86,1,1,0.51,0.42
87,1,1,0.45,0.47
88,1,1,0.49,0.51
89,1,1,0.50,0.41
90,1,1,0.51,0.49
91,1,1,0.52,0.48
92,1,1,0.43,0.47
93,1,1,0.44,0.48
94,1,1,0.48,0.47
95,1,1,0.51,0.51
96,1,1,0.44,0.48
97,1,1,0.49,0.50
98,1,1,0.44,0.47
99,1,1,0.50,0.54
100,1,1,0.48,0.54
101,1,1,0.48,0.59
102,1,1,0.48,0.45
103,1,1,0.47,0.58
104,1,1,0.53,0.53
105,1,1,0.52,0.54
106,1,1,0.48,0.54
107,1,1,0.49,0.50
108,1,1,0.46,0.60
109,1,1,0.47,0.56
110,1,1,0.38,0.52
111,1,1,0.43,0.53
112,1,1,0.44,0.58
113,1,1,0.45,0.46
114,1,1,0.41,0.54
115,1,1,0.43,0.54
116,1,1,0.46,0.48
117,1,1,0.44,0.58
118,1,1,0.41,0.55
119,1,1,0.40,0.45
120,1,1,0.42,0.44
121,1,1,0.45,0.45
122,1,1,0.39,0.54
123,1,1,0.42,0.55
124,1,1,0.42,0.40
125,1,1,0.44,0.43
126,1,1,0.43,0.53
127,1,1,0.46,0.52
128,1,1,0.49,0.54
129,1,1,0.49,0.43
130,1,1,0.54,0.54
131,1,1,0.50,0.44
132,1,1,0.52,0.50
133,1,1,0.56,0.48
134,1,1,0.45,0.59
