frame_id,left_detected,right_detected,left_conf,right_conf
0,1,1,0.51,0.47
1,1,0,0.36,0.32
2,1,0,0.39,0.26
3,0,0,0.34,0.32
4,0,0,0.34,0.33
5,1,0,0.35,0.34
6,1,0,0.44,0.32
7,1,0,0.44,0.32
8,0,0,0.34,0.34
9,0,0,0.10,0.33
10,1,1,0.36,0.35
11,1,0,0.35,0.32
12,1,1,0.39,0.39
13,1,0,0.47,0.32
14,0,1,0.34,0.37
15,1,1,0.39,0.42
16,1,0,0.37,0.33
17,0,1,0.10,0.42
18,1,0,0.37,0.33
19,1,0,0.38,0.10
20,1,1,0.39,0.36
21,1,0,0.45,0.10
22,1,0,0.45,0.10
23,1,0,0.40,0.10
24,1,0,0.42,0.10
25,1,0,0.47,0.10
26,1,0,0.40,0.10
27,1,0,0.41,0.33
28,1,0,0.46,0.35
29,1,0,0.42,0.10
30,1,0,0.51,0.10
31,1,0,0.46,0.10
32,1,0,0.42,0.10
33,1,0,0.42,0.10
34,1,0,0.43,0.10
35,1,0,0.40,0.33
36,1,0,0.37,0.10
37,1,0,0.47,0.32
38,1,0,0.39,0.10
39,1,0,0.43,0.10
40,1,1,0.50,0.39
41,1,0,0.39,0.10
42,1,0,0.38,0.32
43,1,0,0.42,0.33
44,0,0,0.31,0.32
45,1,0,0.40,0.35
46,1,0,0.36,0.33
47,1,0,0.35,0.34
48,1,0,0.35,0.10
49,1,0,0.39,0.10
50,0,0,0.32,0.10
51,1,0,0.39,0.33
52,1,0,0.36,0.33
53,0,0,0.31,0.32
54,0,0,0.33,0.10
55,1,0,0.39,0.34
56,1,0,0.45,0.33
57,1,0,0.37,0.10
58,1,0,0.37,0.10
59,1,0,0.38,0.10
60,1,0,0.40,0.10
61,1,0,0.41,0.10
62,1,0,0.42,0.10
63,1,0,0.42,0.10
64,1,0,0.54,0.31
65,0,0,0.33,0.10
66,1,0,0.40,0.10
67,1,0,0.42,0.32
68,1,0,0.40,0.32
69,1,0,0.47,0.33
70,1,1,0.51,0.37
71,1,0,0.50,0.33
72,1,0,0.45,0.23
73,1,0,0.38,0.23
74,1,0,0.41,0.22
75,1,0,0.37,0.32
76,1,0,0.45,0.32
77,1,0,0.41,0.32
78,1,0,0.44,0.32
79,1,0,0.39,0.34
80,1,0,0.42,0.34
81,0,0,0.29,0.10
82,1,0,0.43,0.32
83,1,0,0.44,0.33
84,0,0,0.33,0.33
85,0,1,0.32,0.38
86,0,0,0.10,0.32
87,1,0,0.43,0.10
88,1,0,0.44,0.33
89,1,1,0.46,0.37
90,1,0,0.43,0.10
91,1,0,0.44,0.10
92,1,0,0.39,0.10
93,1,0,0.41,0.10
94,1,0,0.41,0.10
95,1,1,0.43,0.35
96,0,0,0.35,0.32
97,0,1,0.32,0.35
98,0,1,0.32,0.40
99,0,0,0.34,0.31
100,0,1,0.31,0.39
101,0,1,0.35,0.47
102,0,1,0.34,0.45
103,1,1,0.37,0.42
104,0,1,0.32,0.37
105,0,0,0.31,0.32
106,0,1,0.32,0.37
107,1,0,0.36,0.32
108,1,1,0.39,0.35
109,1,1,0.42,0.38
110,1,1,0.39,0.37
111,0,0,0.32,0.32
112,1,0,0.37,0.34
113,1,1,0.39,0.39
114,0,1,0.34,0.35
115,0,0,0.32,0.10
116,0,0,0.32,0.10
117,0,1,0.10,0.43
118,0,1,0.10,0.36
119,0,1,0.32,0.47
120,1,1,0.48,0.42
121,1,0,0.51,0.33
122,1,0,0.39,0.34
123,1,0,0.47,0.33
124,1,1,0.38,0.39
125,1,0,0.43,0.33
126,1,0,0.37,0.32
127,0,1,0.32,0.45
128,0,0,0.31,0.10
129,1,1,0.40,0.37
130,1,1,0.41,0.38
131,0,0,0.32,0.32
132,1,1,0.37,0.43
133,1,1,0.38,0.42
134,1,1,0.39,0.48
135,1,1,0.39,0.42
136,1,1,0.41,0.46
137,1,1,0.41,0.42
138,1,0,0.43,0.32
139,1,1,0.45,0.44
140,0,1,0.32,0.38
141,0,0,0.32,0.35
142,0,1,0.30,0.45
143,1,0,0.37,0.32
144,1,0,0.41,0.35
145,1,0,0.38,0.34
146,1,1,0.37,0.39
147,0,1,0.33,0.41
148,0,0,0.34,0.35
149,1,0,0.40,0.10
150,1,0,0.41,0.26
151,1,1,0.36,0.37
152,1,1,0.41,0.48
153,1,0,0.42,0.34
154,0,1,0.33,0.45
155,0,1,0.32,0.36
156,1,0,0.37,0.32
157,1,0,0.40,0.33
158,1,0,0.37,0.32
159,1,0,0.37,0.32
160,1,0,0.38,0.32
161,1,0,0.39,0.32
162,1,1,0.38,0.37
163,0,1,0.32,0.36
164,0,0,0.27,0.31
165,1,0,0.37,0.25
166,0,0,0.32,0.26
167,1,0,0.37,0.32
168,1,0,0.37,0.34
169,0,0,0.33,0.28
170,1,1,0.36,0.38
171,1,0,0.36,0.35
172,1,0,0.39,0.33
173,1,1,0.39,0.37
174,1,1,0.37,0.38
175,1,0,0.41,0.34
176,1,1,0.43,0.46
177,1,1,0.38,0.47
178,0,1,0.34,0.45
179,1,0,0.46,0.34
180,0,0,0.32,0.33
181,0,0,0.32,0.34
182,0,0,0.32,0.27
183,0,0,0.32,0.34
184,0,1,0.32,0.35
185,0,1,0.33,0.38
186,0,1,0.32,0.42
187,0,1,0.32,0.38
188,0,1,0.31,0.37
189,0,1,0.34,0.41
190,0,1,0.32,0.37
191,0,0,0.34,0.34
192,0,1,0.32,0.37
193,0,1,0.32,0.36
194,0,1,0.32,0.36
195,0,0,0.32,0.32
196,1,1,0.38,0.42
197,1,1,0.36,0.35
198,1,1,0.35,0.38
199,1,0,0.39,0.32
200,0,0,0.32,0.32
201,0,0,0.28,0.33
202,0,0,0.32,0.33
203,0,0,0.32,0.32
204,1,0,0.36,0.33
205,0,0,0.32,0.34
206,0,0,0.33,0.10
207,0,0,0.31,0.10
208,0,1,0.31,0.37
209,0,1,0.35,0.36
210,0,1,0.31,0.36
211,0,1,0.25,0.36
212,0,1,0.31,0.39
213,0,1,0.31,0.35
214,0,0,0.31,0.34
215,0,0,0.32,0.34
216,0,1,0.25,0.38
217,0,0,0.32,0.35
218,0,0,0.31,0.33
219,0,0,0.31,0.10
220,0,0,0.10,0.33
221,0,0,0.31,0.33
222,0,0,0.31,0.32
223,0,0,0.33,0.33
224,0,0,0.32,0.33
225,0,1,0.26,0.40
226,0,1,0.35,0.36
227,0,1,0.31,0.46
228,0,0,0.31,0.30
229,0,0,0.32,0.32
230,0,0,0.31,0.32
231,0,0,0.31,0.32
232,0,0,0.31,0.32
233,0,0,0.10,0.30
234,0,0,0.10,0.34
235,0,0,0.32,0.35
236,0,0,0.32,0.33
237,0,0,0.31,0.32
238,0,0,0.31,0.33
